,links
54,https://www.mycareersfuture.sg/job/purchaser-nippon-builders-c731342429ecd576f0fd05212ce7c6dc
55,https://www.mycareersfuture.sg/job/client-solutions-manager-dathena-science-c178e139accb54123d97689061d10470
56,https://www.mycareersfuture.sg/job/plant-manager-keystone-cable-b984d63cc31cd9779d3321aff29883b6
57,https://www.mycareersfuture.sg/job/associate-communications-manager-globesoft-services-1c3e1e04955d1756a7c947677cc586ee
58,https://www.mycareersfuture.sg/job/clinical-research-coordinator-og-department-national-university-hospital-afd72e5406dc348c57849331197f80f2
59,https://www.mycareersfuture.sg/job/senior-project-manager-capita-77b904a714d8c077e0431b84369c5e29
60,https://www.mycareersfuture.sg/job/sap-data-migration-consultant-6f82945a6b34bcbb9a6ffe6e6bb05dda
61,https://www.mycareersfuture.sg/job/finance-assistant-java-valley-sg-278541ea09c703193a49c1225bb60180
62,https://www.mycareersfuture.sg/job/manager-demand-account-management-apac-smaato-5ba53d83f64f456fdb6d3d64e3da1e45
63,https://www.mycareersfuture.sg/job/finance-admin-executive-bioquest-advisory-c6fef4e2d50f04a3a2e33a3bc12d184f
64,https://www.mycareersfuture.sg/job/data-scientist-hewlett-packard-enterprise-singapore-86e18b1b2b60e17a2327afd40d677a25
65,https://www.mycareersfuture.sg/job/senior-software-engineer-redmart-3dc78b113f89ec420a8fe664f4cf156a
66,https://www.mycareersfuture.sg/job/lounge-manager-dnata-singapore-fba3da5babde17ba38623c451dd649c4
67,https://www.mycareersfuture.sg/job/admin-157b5c21192217aa8bc8c4f7f92f3e3d
68,https://www.mycareersfuture.sg/job/network-engineer-flintex-consulting-9a3fbc44655acc9986868429fe1f4762
69,https://www.mycareersfuture.sg/job/executive-data-technology-resorts-world-sentosa-4535470e3d678aeba6826ce799b51d87
70,https://www.mycareersfuture.sg/job/admin-assistant-acetech-manpower-consultancy-b40451d95aa699cc19f196ec4d5a638f
71,https://www.mycareersfuture.sg/job/sap-abap-consultant-mthai-94c338b1f3e142b93921c0b79099d92a
72,https://www.mycareersfuture.sg/job/purchasing-executive-reich-consultancy-1c049d0ff1b8ddc7701bbc517d38538e
73,https://www.mycareersfuture.sg/job/software-engineer-224a04abc035d50a8097847a1844864e
74,https://www.mycareersfuture.sg/job/programme-coordinator-kelly-services-f588aa956793729e1795b6f8186df256
75,https://www.mycareersfuture.sg/job/senior-analyst-trust-safety-singapore-google-asia-pacific-ffef8d10ddb7fa9a5e10f92fad67324e
76,https://www.mycareersfuture.sg/job/hr-business-partner-singapore-google-asia-pacific-149e09c648ced19f0dd29da95fd13c4c
77,https://www.mycareersfuture.sg/job/system-engineer-jtc-corporation-333850a17d9d8ddb8494b4a07cb5d1d0
78,https://www.mycareersfuture.sg/job/key-account-manager-agility-project-logistics-1adbac5f36e25a759961a1b9957ba644
79,https://www.mycareersfuture.sg/job/senior-admin-executive-neferti-09a2b6b46342e0d5a94b28abf75f2ce4
80,https://www.mycareersfuture.sg/job/cybersecurity-associate-advisory-singapore-ernst-young-advisory-13dc2f2d8a643977475d23c1cf6d6cd3
81,https://www.mycareersfuture.sg/job/software-developer-epam-systems-c742abd1d7eaaded52aadb1c18f9a95e
82,https://www.mycareersfuture.sg/job/project-manager-e2364b1c77f86b1c0c1f29f7b2827663
